name,house,party,constituency,constituency_ons,position,source_link,country,addressable_title
Sorcha Eastwood,Commons,Alliance,Lagan Valley,N05000009,,https://members.parliament.uk/member/5125/contact,Northern Ireland,Ms Sorcha Eastwood MP
Stuart Anderson,Commons,Conservative,South Shropshire,E14001493,,https://members.parliament.uk/member/4742/contact,England,Mr Stuart Anderson MP
Stuart Andrew,Commons,Conservative,Daventry,E14001192,"Shadow Secretary of State for Culture, Media and Sport",https://members.parliament.uk/member/4032/contact,England,The Rt Hon Stuart Andrew MP
Edward Argar,Commons,Conservative,Melton and Syston,E14001357,Shadow Secretary of State for Health and Social Care,https://members.parliament.uk/member/4362/contact,England,The Rt Hon Edward Argar MP
Victoria Atkins,Commons,Conservative,Louth and Horncastle,E14001343,"Shadow Secretary of State for Environment, Food and Rural Affairs",https://members.parliament.uk/member/4399/contact,England,The Rt Hon Victoria Atkins MP
Gareth Bacon,Commons,Conservative,Orpington,E14001417,Shadow Secretary of State for Transport,https://members.parliament.uk/member/4798/contact,England,Mr Gareth Bacon MP
Kemi Badenoch,Commons,Conservative,North West Essex,E14001402,Leader of HM Official Opposition,https://members.parliament.uk/member/4597/contact,England,The Rt Hon Kemi Badenoch MP
Harriett Baldwin,Commons,Conservative,West Worcestershire,E14001579,Shadow Minister (Business and Trade),https://members.parliament.uk/member/4107/contact,England,Dame Harriett Baldwin MP
Steve Barclay,Commons,Conservative,North East Cambridgeshire,E14001390,,https://members.parliament.uk/member/4095/contact,England,The Rt Hon Steve Barclay MP
Peter Bedford,Commons,Conservative,Mid Leicestershire,E14001364,,https://members.parliament.uk/member/5330/contact,England,Mr Peter Bedford MP
Saqib Bhatti,Commons,Conservative,Meriden and Solihull East,E14001358,"Shadow Minister (Culture, Media and Sport)",https://members.parliament.uk/member/4818/contact,England,Mr Saqib Bhatti MP
Bob Blackman,Commons,Conservative,Harrow East,E14001270,,https://members.parliament.uk/member/4005/contact,England,Mr Bob Blackman MP
Sarah Bool,Commons,Conservative,South Northamptonshire,E14001490,,https://members.parliament.uk/member/5355/contact,England,Ms Sarah Bool MP
Andrew Bowie,Commons,Conservative,West Aberdeenshire and Kincardine,S14000111,Shadow Minister (Energy Security and Net Zero),https://members.parliament.uk/member/4601/contact,Scotland,Mr Andrew Bowie MP
